date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Capex per Share,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Growth,Weighted Average Shares Diluted Growth,Dividends per Share Growth,Operating Cash Flow growth,Free Cash Flow growth,Receivables growth,Inventory Growth,Asset Growth,Book Value per Share Growth,Debt Growth,R&D Expense Growth,SG&A Expenses Growth
2017-04-01,10.05201981062767,2.0958810967069827,2.379791365859239,1.8068399190760716,2.8803399929991604,25.480091505001877,62.03496391071003,25.480091505001877,16.924396633667957,7.713370870800001E11,8.447100870800001E11,69.93717354973253,14.58214396324864,61.5936346785914,81.12506174589821,5.75272659327874,5.75272659327874,15.969262081820935,51.415794453709914,67.45269400942267,88.84203692469501,0.014298547528359821,0.012326647012389625,1.494980683462359,0.5991952937237693,4.46606610262341,1.3906083826456874,26.59811320754717,1.1354610572128025,0.0038945359302922215,0.2723728352525161,0.07028886872353297,0.07028886872353297,0.02418303779608528,4.153565505804312,17.544278606965175,0.7734660033167496,0.02300741076830006,34.66371226330492,-23.413998182518196,2.8648E10,1.25992E11,-9.846E10,336465000000.0,1.62745E10,3.6842E10,3.5035E9,0.5729514467831675,52896000000.0,-0.324884175058,32305000000.0,20591000000.0,2776000000.0,3718000000.0,6494000000.0,14097000000.0,530000000.0,14684000000.0,3655000000.0,0.0,0.0,11029000000.0,0.0,11029000000.0,2.12,2.1,5262226000.0,5294841000.0,0.567344704024,0.389273290986,0.310590592861,0.266504083485,0.208503478524,0.180505142166,16429000000.0,14097000000.0,11029000000.0,0.277601330913,0.208503478524,15157000000.0,51944000000.0,67101000000.0,11579000000.0,2910000000.0,1.0199e+11,27163000000.0,8090000000.0,1.8974e+11,0.0,2.32542e+11,3.34532e+11,28573000000.0,3999000000.0,73342000000.0,84531000000.0,88530000000.0,7682000000.0,0.0,0.0,1.27108e+11,2.0045e+11,28373185000,1.00925e+11,1.34082e+11,2.41684e+11,73373000000.0,0.0,0.0,2332000000.0,1217000000.0,12523000000.0,3015000000.0,-50000000.0,-1257000000.0,-14202000000.0,0.0,-6888000000.0,-3004000000.0,465000000.0,0.0,-1214000000.0,9508000000.0,0.0,-0.317636532344,-0.396506699773,-0.396506699773,-0.383544799061,-0.372781065089,-0.375,-0.00687626553199,-0.00622260343713,-0.0336104398312,-0.537145180367,-0.597732272804,-0.176282279291,0.0730088495575,0.0102403507871,0,0.148904692691,-0.0330895158481,-0.0577800304105
2017-07-01,8.665901886066521,1.6635981928479973,1.5960389683133878,1.1456441380826579,3.544187454328342,25.272684488688316,64.32783247297107,25.272684488688316,18.504547938136362,7.7932244431E11,8.5711044431E11,89.40259771825168,17.16266834720754,93.18694778309218,129.82216297018158,5.8850099626958645,5.8850099626958645,18.875758551576816,65.31858286160646,102.48839463230898,142.78035054306181,0.011185357310885479,0.007702845008287889,1.6065546535774966,0.6163518004015378,5.928059746989788,1.388342230203439,17.88704318936877,0.9593896982906963,0.0043178533154903794,0.3860273029712057,0.08331131078224102,0.08331131078224102,0.023480979103232293,3.54364406779661,19.240677966101696,0.997457627118644,0.02627290345313601,30.75680128825962,-23.877939565792666,3.1573E10,1.2432E11,-9.9873E10,345534000000.0,1.66845E10,3.8513E10,3.6215E9,0.45039483023073,45408000000.0,-0.141560798548,27920000000.0,17488000000.0,2937000000.0,3783000000.0,6720000000.0,10768000000.0,602000000.0,11308000000.0,2591000000.0,0.0,0.0,8717000000.0,0.0,8717000000.0,1.68,1.68,5239847000.0,5274394000.0,0.63798798497,0.385130373502,0.288979915433,0.237138830162,0.191970577872,0.134029245948,13122000000.0,10768000000.0,8717000000.0,0.249031007752,0.191970577872,18571000000.0,58188000000.0,76759000000.0,12399000000.0,3146000000.0,1.12875e+11,29286000000.0,8105000000.0,1.84757e+11,0.0,2.32298e+11,3.45173e+11,31915000000.0,6495000000.0,81302000000.0,89864000000.0,96359000000.0,7608000000.0,0.0,0.0,1.31446e+11,2.12748e+11,29275218000,98525000000.0,1.32425e+11,2.42945e+11,77788000000.0,0.0,0.0,2354000000.0,1193000000.0,8363000000.0,2360000000.0,-181000000.0,-262000000.0,-3180000000.0,-3500000000.0,-7092000000.0,-3365000000.0,-1769000000.0,0.0,3414000000.0,6003000000.0,0.0,-0.150696906415,-0.236149535362,-0.236149535362,-0.209629159489,-0.207547169811,-0.2,-0.00425276299422,-0.00386168347643,0.124957279217,-0.332188772658,-0.368636937316,0.0708178599188,0.0810996563574,0.0318086162161,0,0.0884332994465,0.0579971181556,0.0174825174825
2017-09-30,10.077930063431982,2.053575433150312,3.0008192067763004,2.2341306000373375,3.8888362855317045,25.693076916884436,70.401948002412,25.693076916884436,20.004630799184703,8.6981858624E11,9.5323258624E11,81.18523298861302,16.54307967515548,55.55816212570261,74.62410657515443,6.4889075193029315,6.4889075193029315,18.12953053956903,61.08898912073827,60.88608752171692,81.780420919698,0.012317510995383349,0.013400495441682689,1.7999060031183092,0.6428451530564666,5.345680594719303,1.2760628484139107,19.6996996996997,1.4612656337502334,0.003759404606580507,0.3052081388837036,0.07253846592746153,0.07253846592746153,0.02135516720443143,3.914,13.14475,0.621,0.022328305977671693,34.45518988581391,-28.99194631953051,2.7831E10,1.26032E11,-1.12627E11,369896000000.0,1.9422E10,4.708E10,4.476E9,0.7666886067389629,52579000000.0,0.157923713883,32648000000.0,19931000000.0,2997000000.0,3814000000.0,6811000000.0,13120000000.0,666000000.0,13917000000.0,3203000000.0,0.0,0.0,10714000000.0,0.0,10714000000.0,2.09,2.07,5217242000.0,5251692000.0,0.622656469572,0.379067688621,0.296772475703,0.24952927975,0.203769565796,0.224253028776,15604000000.0,13120000000.0,10714000000.0,0.264687422735,0.203769565796,20289000000.0,53892000000.0,74181000000.0,17874000000.0,4855000000.0,1.28645e+11,33783000000.0,8015000000.0,1.94714e+11,0.0,2.46674e+11,3.75319e+11,49049000000.0,6496000000.0,1.00814e+11,97207000000.0,1.03703e+11,7548000000.0,0.0,0.0,1.40458e+11,2.41272e+11,30740799000,98330000000.0,1.34047e+11,2.48606e+11,83414000000.0,0.0,0.0,2484000000.0,1174000000.0,15656000000.0,4000000000.0,-81000000.0,4325000000.0,-9942000000.0,0.0,-7514000000.0,-3270000000.0,-3996000000.0,0.0,1718000000.0,11656000000.0,0.0,0.1396957914,0.218424962853,0.218424962853,0.229092577722,0.244047619048,0.232142857143,-0.0043140572616,-0.00430419115447,-0.0240213702248,0.872055482482,0.941695818757,0.441567868376,0.543229497775,0.0873359156133,0,0.0762149877022,0.0204290091931,0.00819455458631
2017-12-30,17.26875103782078,3.924404987641987,5.533675071784438,4.953962319062242,5.376816223038419,27.42076525603882,77.99053253187981,27.42076525603882,21.740010565480063,8.5875882092E11,9.4168782092E11,42.79884480039871,9.726239010114051,30.35234230799138,33.9041739081685,6.1252849230023045,6.1252849230023045,10.665486742097334,32.45073299975878,33.28342066659598,37.17824710489952,0.023365116620873937,0.02949489354049918,1.9015470866411315,0.6553562736913524,2.8577483717564354,1.2420112619615158,35.79564032697548,1.4100672813356592,0.003888169668432499,0.16640917019686022,0.04791999365748134,0.04791999365748134,0.019759386814948106,9.545546558704453,29.78846153846154,0.9261133603238867,0.014678400326186674,49.205987730707875,-33.181220670866914,2.8022E10,1.32161E11,-1.22785E11,377877000000.0,2.2205E10,5.4048E10,4.259E9,0.5797127527221954,88293000000.0,0.679244565321,54381000000.0,33912000000.0,3407000000.0,4231000000.0,7638000000.0,26274000000.0,734000000.0,27030000000.0,6965000000.0,0.0,0.0,20065000000.0,0.0,20065000000.0,3.92,3.89,5112877000.0,5157787000.0,0.647370664977,0.384084808535,0.328667051748,0.297577384391,0.227254708754,0.288618576784,29019000000.0,26274000000.0,20065000000.0,0.306139784581,0.227254708754,27491000000.0,49662000000.0,77153000000.0,23440000000.0,4421000000.0,1.4381e+11,33679000000.0,8038000000.0,2.07944e+11,0.0,2.62984e+11,4.06794e+11,62985000000.0,6498000000.0,1.15788e+11,1.03922e+11,1.1042e+11,8044000000.0,0.0,0.0,1.50807e+11,2.66595e+11,31365349000,1.04593e+11,1.40199e+11,2.57606e+11,82929000000.0,0.0,0.0,2745000000.0,1296000000.0,28293000000.0,2964000000.0,-173000000.0,3859000000.0,-13590000000.0,-0.0,-10095000000.0,-3339000000.0,-7501000000.0,0.0,7202000000.0,25329000000.0,0.0,0.701470071748,1.00259146341,1.00259146341,0.872783274221,0.875598086124,0.87922705314,-0.0200038641106,-0.0178809039068,0.0419438200177,0.807166581502,1.17304392588,0.311402036478,-0.0893923789907,0.0838619947298,0,0.0647715109495,0.136803470137,0.109334032512
2018-03-31,12.061251436955365,2.726836733264587,2.984882055729504,2.1876640526096804,8.889345707145784,25.030790843810177,72.50166062423689,25.030790843810177,21.829687325220164,8.3768261302E11,9.0248361302E11,60.60502192302127,13.701729116901385,55.36567171315267,75.54176328072865,6.602268423367329,6.602268423367329,14.761660091597559,48.43469183813664,59.64861949900859,81.38548228154026,0.016500282786303926,0.01323771059306354,1.8964989990384464,0.6547556203775762,3.4777545215477916,1.4560344827586207,20.068181818181817,1.094631746491101,0.003808124879779303,0.2307914918246274,0.06788033433109246,0.06788033433109246,0.0,3.7441227418955703,15.129175946547884,0.6778025241276912,0.02204884112730425,39.18845236227377,-27.24666627341717,4.0733E10,367502000000.0,-1.10571E11,354963000000.0,1.7647E10,3.9711E10,5.8795E9,0.7972180031198232,61137000000.0,-0.307566851279,37715000000.0,23422000000.0,3378000000.0,4150000000.0,7528000000.0,15894000000.0,792000000.0,16168000000.0,2346000000.0,0.0,0.0,13822000000.0,0.0,13822000000.0,2.77,2.74,5068877000.0,5113140000.0,0.623882780444,0.38310679294,0.304774522793,0.259973502135,0.22608240509,0.178860591786,18633000000.0,15894000000.0,13822000000.0,0.264455239871,0.22608240509,45059000000.0,42881000000.0,87940000000.0,14324000000.0,7662000000.0,1.30053e+11,35077000000.0,0.0,1.79286e+11,0.0,2.37449e+11,3.67502e+11,34311000000.0,8498000000.0,89320000000.0,1.01362e+11,1.0986e+11,7775000000.0,0.0,0.0,1.51304e+11,2.40624e+11,33100718000,91898000000.0,1.26878e+11,2.22167e+11,64801000000.0,0.0,0.0,2739000000.0,1348000000.0,15130000000.0,4041000000.0,-132000000.0,-4826000000.0,28710000000.0,-500000000.0,-22429000000.0,-3190000000.0,-26272000000.0,0.0,17568000000.0,11089000000.0,0.0,-0.309330030668,-0.395067366979,-0.395067366979,-0.311138798904,-0.293367346939,-0.295629820051,-0.00860572237509,-0.00865623182966,-0.0363310717054,-0.465238751635,-0.562201429192,-0.388907849829,0.73309206062,-0.096589428556,0,-0.00507154500996,-0.00851188729087,-0.0191444103049
2018-06-30,10.638871578543695,2.3007446111563845,2.893757090583705,2.2412236549861784,6.385719764153205,22.95931003627183,69.7467762810987,22.95931003627183,20.666954284709906,9.508110024E11,1.0214660024E12,82.54284246896431,17.85057734722613,65.62748498067366,84.73496144728634,8.27159003036129,8.27159003036129,19.177058150755656,66.86299681874713,70.50427956929873,91.03163732287675,0.012114920810680767,0.01180150415979242,2.0378428694464503,0.670819050564581,4.624926359887413,1.3073248407643312,14.907801418439716,1.2577480684087161,0.003841983307701783,0.3171282229360188,0.07712381488782502,0.07712381488782502,0.0,4.4346495255586165,16.30394857667585,0.8157330884603612,0.0253637473012297,34.47504820795723,-29.90668392374926,2.7213E10,349197000000.0,-1.18487E11,343278000000.0,1.7537E10,4.18E10,5.0165E9,0.6525334355975265,53265000000.0,-0.128759998037,32844000000.0,20421000000.0,3701000000.0,4108000000.0,7809000000.0,12612000000.0,846000000.0,13284000000.0,1765000000.0,0.0,0.0,11519000000.0,0.0,11519000000.0,2.38,2.36,5006640000.0,5050963000.0,0.723228421986,0.383384961983,0.286811226884,0.236778372289,0.216258330987,0.210663662818,15277000000.0,12612000000.0,11519000000.0,0.24939453675,0.216258330987,31971000000.0,38999000000.0,70970000000.0,14104000000.0,5936000000.0,1.15761e+11,38117000000.0,0.0,1.72773e+11,0.0,2.33436e+11,3.49197e+11,38489000000.0,5498000000.0,88548000000.0,97128000000.0,1.02626e+11,7403000000.0,0.0,0.0,1.457e+11,2.34248e+11,33781083000,79436000000.0,1.14949e+11,2.11772e+11,70655000000.0,0.0,0.0,2665000000.0,1351000000.0,14488000000.0,3267000000.0,-126000000.0,-7855000000.0,3947000000.0,-6000000000.0,-20782000000.0,-3653000000.0,-31523000000.0,0.0,-13088000000.0,11221000000.0,0.0,-0.128127401588,-0.206493016233,-0.206493016233,-0.16661843438,-0.140794223827,-0.138686131387,-0.0122782620292,-0.0121602381316,0.159376190488,-0.0424322538004,0.0119036883398,-0.0153588383133,-0.225267554163,-0.0498092527388,0,-0.0658474421992,0.0956187092954,-0.0101204819277
2018-09-29,12.69328246872034,2.850439028150633,3.939760789138748,3.326083968989645,5.229269135325122,21.6223710123367,73.80366821737276,21.6223710123367,20.863599278117487,1.05172921448E12,1.12833521448E12,74.4587054499115,16.720655238155803,53.87129101470061,63.81077626987016,9.815759792434694,9.815759792434694,17.93855666899841,59.78885197541331,57.795175663576295,68.45863453949764,0.013430263042549156,0.015671334192374882,2.4133013523477094,0.7070285050242668,4.0592412038999575,1.1238426916297297,18.569124423963135,1.3821592920353982,0.0033563772417839663,0.24991150442477877,0.06702702702702702,0.06702702702702702,0.0,6.4199276553765205,20.683985531075304,0.9056231502795133,0.02138314785373609,37.23906725243185,-34.89330882393005,1.4473E10,365725000000.0,-1.27239E11,338366000000.0,2.2078E10,5.04995E10,4.0265E9,0.6136768201491026,62900000000.0,0.180888012766,38816000000.0,24084000000.0,3750000000.0,4216000000.0,7966000000.0,16118000000.0,868000000.0,16421000000.0,2296000000.0,0.0,0.0,14125000000.0,0.0,14125000000.0,2.94,2.92,4955377000.0,5000109000.0,0.705984609536,0.382893481717,0.300031796502,0.256248012719,0.224562798092,0.262034976153,18872000000.0,16118000000.0,14125000000.0,0.26106518283,0.224562798092,25913000000.0,40388000000.0,66301000000.0,23186000000.0,3956000000.0,1.31339e+11,41304000000.0,0.0,1.70799e+11,0.0,2.34386e+11,3.65725e+11,55888000000.0,8784000000.0,1.16866e+11,93735000000.0,1.02519e+11,7543000000.0,0.0,0.0,1.41712e+11,2.58578e+11,35446014000,70400000000.0,1.07147e+11,2.11187e+11,76606000000.0,0.0,0.0,2754000000.0,1345000000.0,19523000000.0,3041000000.0,-290000000.0,-9553000000.0,-3001000000.0,0.0,-18763000000.0,-3530000000.0,-22580000000.0,0.0,-6058000000.0,16482000000.0,0.0,0.179374173645,0.277989216619,0.277989216619,0.226234916225,0.235294117647,0.237288135593,-0.0102390026045,-0.0100681790779,-0.0236743545525,0.347528989509,0.468853043401,0.643930799773,-0.333557951482,0.0473314490102,0,-0.00104262077836,0.0132396649554,0.0262901655307
2018-12-29,17.802619187384657,4.215742996988906,5.635771629833904,4.927340988466622,9.453695452952182,24.8936826146264,78.91326106144237,24.8936826146264,21.88660041977947,7.40208666E11,7.98198666E11,37.0753151014275,8.779606997983631,27.733558111652307,31.72096275980287,6.278701404675466,6.278701404675466,9.467425762068556,29.849245203993867,29.906281978269014,34.20607096635955,0.02697212410101667,0.03152489435999119,2.1700115359820855,0.684543734731175,2.1685800830185857,1.3005550271049011,26.231460674157304,1.336839469070874,0.004820262398819308,0.17871274730778863,0.05673111137468865,0.05673111137468865,0.0,7.955290611028316,25.129657228017884,1.0119225037257824,0.01849128217293322,48.592908777075735,-32.38050643816699,3.2545E10,373719000000.0,-1.14999E11,335395000000.0,1.95235E10,4.4702E10,4.5425E9,0.7084306413672817,84310000000.0,0.340381558029,52279000000.0,32031000000.0,3902000000.0,4783000000.0,8685000000.0,23346000000.0,890000000.0,23906000000.0,3941000000.0,0.0,0.0,19965000000.0,0.0,19965000000.0,4.22,4.18,4735820000.0,4773252000.0,0.74749877023,0.379919345273,0.317174712371,0.276906654015,0.236804649508,0.276776183134,26741000000.0,23346000000.0,19965000000.0,0.283548807971,0.236804649508,44771000000.0,41656000000.0,86427000000.0,18077000000.0,4988000000.0,1.40828e+11,39597000000.0,0.0,1.58608e+11,0.0,2.32891e+11,3.73719e+11,44293000000.0,9772000000.0,1.08283e+11,92989000000.0,1.02761e+11,5546000000.0,0.0,0.0,1.47544e+11,2.55827e+11,36240197000,80510000000.0,1.17892e+11,2.00264e+11,57990000000.0,0.0,0.0,3395000000.0,1559000000.0,26690000000.0,3355000000.0,-167000000.0,1053000000.0,5844000000.0,-0.0,-8796000000.0,-3568000000.0,-13676000000.0,0.0,18858000000.0,23335000000.0,0.0,0.329970104634,0.448442734831,0.448442734831,0.413451327434,0.43537414966,0.431506849315,-0.0443068206516,-0.045370410925,0.0576248678581,0.367105465349,0.415786919063,-0.220348486155,0.260869565217,0.0218579533803,0,0.00236053804661,0.0405333333333,0.134487666034
2019-03-30,12.330643610074082,2.457201943912203,2.370909755586941,1.8686722161470537,8.074058251477966,22.49973166530108,72.689053750894,22.49973166530108,21.618956225843235,9.626787964500001E11,1.0253967964500001E12,83.26950925092986,16.593618830474878,86.30020586732407,109.49485855891722,9.093886231343285,9.093886231343285,17.674684072222703,62.31521096627166,91.92261734199911,116.6283890411738,0.012009197712292669,0.00913284891328407,2.2306631399962216,0.6904660261171118,3.811485870556062,1.3153819903595956,13.282178217821782,0.9648819306288383,0.0035764784813963895,0.2978116079923882,0.0768421959837973,0.0768421959837973,0.0,4.720694033008887,24.55141768937791,1.2865002115954296,0.026096699129535467,35.26958532040485,-30.242702093223194,2.9574E10,341998000000.0,-1.12792E11,322868000000.0,1.80275E10,3.7777E10,4.4905E9,0.5022375394398871,58015000000.0,-0.311884711185,36194000000.0,21821000000.0,3948000000.0,4458000000.0,8406000000.0,13415000000.0,1010000000.0,13793000000.0,2232000000.0,0.0,0.0,11561000000.0,0.0,11561000000.0,2.48,2.48,4704945000.0,4736949000.0,0.726839153219,0.376126863742,0.283633543049,0.231233301732,0.199276049298,0.151547013703,16455000000.0,13415000000.0,11561000000.0,0.237748858054,0.199276049298,37988000000.0,42104000000.0,80092000000.0,15085000000.0,4884000000.0,1.23346e+11,38746000000.0,0.0,1.45319e+11,0.0,2.18652e+11,3.41998e+11,30443000000.0,10505000000.0,93772000000.0,90201000000.0,1.00706e+11,5532000000.0,0.0,0.0,1.42366e+11,2.36138e+11,38193716000,64558000000.0,1.0586e+11,1.87423e+11,62718000000.0,0.0,0.0,3040000000.0,1514000000.0,11155000000.0,2363000000.0,-124000000.0,-7890000000.0,13348000000.0,-2500000000.0,-23312000000.0,-3443000000.0,-29457000000.0,0.0,-4954000000.0,8792000000.0,0.0,-0.318753707346,-0.425383363317,-0.425383363317,-0.420936639118,-0.412322274882,-0.406698564593,-0.00651946231065,-0.00760550668601,-0.0287012869348,-0.582053203447,-0.623226912363,-0.165514189301,-0.0208500400962,-0.0848792809571,0,-0.01999785911,0.011788826243,-0.0679489859921
2019-06-29,11.546562092625276,2.1552838680950823,2.4969019403777755,2.067733507861829,10.842940447515383,20.697935163379057,69.147403262753,20.697935163379057,21.31486478512073,9.77145494E11,1.025080494E12,97.28648884906411,18.159517813005262,83.97606514266072,101.40571751764217,10.130479120013272,10.130479120013272,19.05035391848947,70.80752186226428,88.09560794087315,106.38029202988793,0.01027891963036571,0.009861376897471524,2.340787509330679,0.7006693789392345,3.311114181114872,1.504648622135022,13.33025404157044,1.1585025886101155,0.0037138788668455956,0.36131023496614895,0.08225389804679514,0.08225389804679514,0.0,5.818,26.9045,1.4665,0.02780204055083722,31.68159291467916,-25.509878920855975,4.5269E10,322239000000.0,-9.081E10,290423000000.0,1.7559E10,3.7113E10,3.726E9,0.4291684325159463,53809000000.0,-0.0724984917694,33582000000.0,20227000000.0,4257000000.0,4426000000.0,8683000000.0,11544000000.0,866000000.0,11911000000.0,1867000000.0,0.0,0.0,10044000000.0,0.0,10044000000.0,2.22,2.2,4660175000.0,4691759000.0,0.773483889518,0.375903659239,0.269044211935,0.214536601684,0.186660224126,0.17907784943,14477000000.0,11544000000.0,10044000000.0,0.22135702206,0.186660224126,50530000000.0,44084000000.0,94614000000.0,14148000000.0,3355000000.0,1.34973e+11,37636000000.0,0.0,1.15996e+11,0.0,1.87266e+11,3.22239e+11,29115000000.0,13529000000.0,89704000000.0,84936000000.0,98465000000.0,5434000000.0,0.0,0.0,1.36079e+11,2.25783e+11,38839605000,53724000000.0,96456000000.0,1.6008e+11,47935000000.0,0.0,0.0,2933000000.0,1496000000.0,11636000000.0,2000000000.0,-320000000.0,11781000000.0,27502000000.0,-3000000000.0,-16954000000.0,-3629000000.0,-26804000000.0,0.0,12334000000.0,9636000000.0,0.0,-0.0730488978507,-0.139470741707,-0.139470741707,-0.131217022749,-0.104838709677,-0.112903225806,-0.00951552037271,-0.00953989582746,0.0641485821749,0.0431196772748,0.0959963603276,-0.0621146834604,-0.313063063063,-0.0577751916678,0,-0.0222528945644,0.0782674772036,-0.00717810677434
